"year","temperature","anomaly"
1909,12.39,-0.0789999999999988
1910,12.46,-0.00899999999999856
1911,11.95,-0.519
1912,11.33,-1.139
1913,11.57,-0.898999999999999
1914,11.58,-0.888999999999999
1915,11.94,-0.529
1916,12.99,0.521000000000001
1917,12.8,0.331000000000001
1918,11.81,-0.658999999999999
1919,11.39,-1.079
1920,11.54,-0.929
1921,11.86,-0.609
1922,12.01,-0.459
1923,11.85,-0.619
1924,12.81,0.341000000000001
1925,11.59,-0.879
1926,11.78,-0.689
1927,11.62,-0.849
1928,12.7,0.231
1929,11.95,-0.519
1930,11.25,-1.219
1931,11.45,-1.019
1932,11.6,-0.869
1933,12.06,-0.408999999999999
1934,12.27,-0.199
1935,12.47,0.00100000000000122
1936,11.88,-0.588999999999999
1937,11.67,-0.798999999999999
1938,12.85,0.381
1939,11.93,-0.539
1940,11.74,-0.728999999999999
1941,11.73,-0.738999999999999
1942,12.03,-0.439
1943,11.76,-0.709
1944,11.78,-0.689
1945,11.53,-0.939
1946,11.8,-0.668999999999999
1947,12.06,-0.408999999999999
1948,12.29,-0.179
1949,12.01,-0.459
1950,12.12,-0.349
1951,11.8,-0.668999999999999
1952,12.12,-0.349
1953,12.06,-0.408999999999999
1954,12.59,0.121
1955,12.78,0.311
1956,12.92,0.451000000000001
1957,12.46,-0.00899999999999856
1958,12.39,-0.0789999999999988
1959,12.15,-0.318999999999999
1960,12.27,-0.199
1961,12.28,-0.189
1962,12.91,0.441000000000001
1963,11.96,-0.508999999999999
1964,12.02,-0.449
1965,11.88,-0.588999999999999
1966,12.15,-0.318999999999999
1967,12.27,-0.199
1968,12.21,-0.258999999999999
1969,12.18,-0.289
1970,12.87,0.401
1971,13.1,0.631
1972,12.24,-0.228999999999999
1973,12.69,0.221
1974,12.74,0.271000000000001
1975,12.61,0.141
1976,11.73,-0.738999999999999
1977,11.77,-0.699
1978,12.82,0.351000000000001
1979,12.55,0.0810000000000013
1980,12.25,-0.218999999999999
1981,12.86,0.391
1982,12.11,-0.359
1983,12.03,-0.439
1984,12.68,0.211
1985,12.85,0.381
1986,12.65,0.181000000000001
1987,12.77,0.301
1988,12.93,0.461
1989,12.97,0.501000000000001
1990,12.99,0.521000000000001
1991,12.17,-0.298999999999999
1992,11.48,-0.988999999999999
1993,11.84,-0.629
1994,12.33,-0.138999999999999
1995,12.59,0.121
1996,12.45,-0.0190000000000001
1997,12.27,-0.199
1998,13.41,0.941000000000001
1999,13.35,0.881
2000,12.79,0.321
2001,12.9,0.431000000000001
2002,12.67,0.201000000000001
2003,12.62,0.151
2004,12.17,-0.298999999999999
2005,13.11,0.641
2006,12.4,-0.0689999999999991
2007,12.67,0.201000000000001
2008,12.86,0.391
2009,12.29,-0.179
2010,13.07,0.601000000000001
2011,12.83,0.361000000000001
2012,12.45,-0.0190000000000001
2013,13.33,0.861000000000001
2014,12.79,0.321
2015,12.75,0.281000000000001
2016,13.45,0.981
2017,13.15,0.681000000000001
2018,13.41,0.941000000000001
2019,13.37,0.901
