year,temperature,data_released,source,anomaly,reference_period
1909,12.39,2020,NIWA 7 Station,-0.07899999999999885,1961-1990
1910,12.46,2020,NIWA 7 Station,-0.00899999999999856,1961-1990
1911,11.95,2020,NIWA 7 Station,-0.5190000000000001,1961-1990
1912,11.33,2020,NIWA 7 Station,-1.1389999999999991,1961-1990
1913,11.57,2020,NIWA 7 Station,-0.8989999999999991,1961-1990
1914,11.58,2020,NIWA 7 Station,-0.8889999999999993,1961-1990
1915,11.94,2020,NIWA 7 Station,-0.5289999999999999,1961-1990
1916,12.99,2020,NIWA 7 Station,0.5210000000000008,1961-1990
1917,12.8,2020,NIWA 7 Station,0.3310000000000013,1961-1990
1918,11.81,2020,NIWA 7 Station,-0.6589999999999989,1961-1990
1919,11.39,2020,NIWA 7 Station,-1.0789999999999988,1961-1990
1920,11.54,2020,NIWA 7 Station,-0.9290000000000004,1961-1990
1921,11.86,2020,NIWA 7 Station,-0.609,1961-1990
1922,12.01,2020,NIWA 7 Station,-0.4589999999999996,1961-1990
1923,11.85,2020,NIWA 7 Station,-0.6189999999999998,1961-1990
1924,12.81,2020,NIWA 7 Station,0.3410000000000011,1961-1990
1925,11.59,2020,NIWA 7 Station,-0.8789999999999996,1961-1990
1926,11.78,2020,NIWA 7 Station,-0.6890000000000001,1961-1990
1927,11.62,2020,NIWA 7 Station,-0.8490000000000002,1961-1990
1928,12.7,2020,NIWA 7 Station,0.23099999999999987,1961-1990
1929,11.95,2020,NIWA 7 Station,-0.5190000000000001,1961-1990
1930,11.25,2020,NIWA 7 Station,-1.2189999999999994,1961-1990
1931,11.45,2020,NIWA 7 Station,-1.019,1961-1990
1932,11.6,2020,NIWA 7 Station,-0.8689999999999998,1961-1990
1933,12.06,2020,NIWA 7 Station,-0.4089999999999989,1961-1990
1934,12.27,2020,NIWA 7 Station,-0.19899999999999984,1961-1990
1935,12.47,2020,NIWA 7 Station,0.00100000000000122,1961-1990
1936,11.88,2020,NIWA 7 Station,-0.5889999999999986,1961-1990
1937,11.67,2020,NIWA 7 Station,-0.7989999999999995,1961-1990
1938,12.85,2020,NIWA 7 Station,0.3810000000000002,1961-1990
1939,11.93,2020,NIWA 7 Station,-0.5389999999999997,1961-1990
1940,11.74,2020,NIWA 7 Station,-0.7289999999999992,1961-1990
1941,11.73,2020,NIWA 7 Station,-0.738999999999999,1961-1990
1942,12.03,2020,NIWA 7 Station,-0.43900000000000006,1961-1990
1943,11.76,2020,NIWA 7 Station,-0.7089999999999996,1961-1990
1944,11.78,2020,NIWA 7 Station,-0.6890000000000001,1961-1990
1945,11.53,2020,NIWA 7 Station,-0.939,1961-1990
1946,11.8,2020,NIWA 7 Station,-0.6689999999999987,1961-1990
1947,12.06,2020,NIWA 7 Station,-0.4089999999999989,1961-1990
1948,12.29,2020,NIWA 7 Station,-0.17900000000000027,1961-1990
1949,12.01,2020,NIWA 7 Station,-0.4589999999999996,1961-1990
1950,12.12,2020,NIWA 7 Station,-0.3490000000000002,1961-1990
1951,11.8,2020,NIWA 7 Station,-0.6689999999999987,1961-1990
1952,12.12,2020,NIWA 7 Station,-0.3490000000000002,1961-1990
1953,12.06,2020,NIWA 7 Station,-0.4089999999999989,1961-1990
1954,12.59,2020,NIWA 7 Station,0.12100000000000044,1961-1990
1955,12.78,2020,NIWA 7 Station,0.31099999999999994,1961-1990
1956,12.92,2020,NIWA 7 Station,0.4510000000000005,1961-1990
1957,12.46,2020,NIWA 7 Station,-0.00899999999999856,1961-1990
1958,12.39,2020,NIWA 7 Station,-0.07899999999999885,1961-1990
1959,12.15,2020,NIWA 7 Station,-0.31899999999999906,1961-1990
1960,12.27,2020,NIWA 7 Station,-0.19899999999999984,1961-1990
1961,12.28,2020,NIWA 7 Station,-0.18900000000000008,1961-1990
1962,12.91,2020,NIWA 7 Station,0.4410000000000007,1961-1990
1963,11.96,2020,NIWA 7 Station,-0.5089999999999986,1961-1990
1964,12.02,2020,NIWA 7 Station,-0.44899999999999984,1961-1990
1965,11.88,2020,NIWA 7 Station,-0.5889999999999986,1961-1990
1966,12.15,2020,NIWA 7 Station,-0.31899999999999906,1961-1990
1967,12.27,2020,NIWA 7 Station,-0.19899999999999984,1961-1990
1968,12.21,2020,NIWA 7 Station,-0.25899999999999856,1961-1990
1969,12.18,2020,NIWA 7 Station,-0.2889999999999997,1961-1990
1970,12.87,2020,NIWA 7 Station,0.4009999999999998,1961-1990
1971,13.1,2020,NIWA 7 Station,0.6310000000000002,1961-1990
1972,12.24,2020,NIWA 7 Station,-0.2289999999999992,1961-1990
1973,12.69,2020,NIWA 7 Station,0.22100000000000009,1961-1990
1974,12.74,2020,NIWA 7 Station,0.2710000000000008,1961-1990
1975,12.61,2020,NIWA 7 Station,0.141,1961-1990
1976,11.73,2020,NIWA 7 Station,-0.738999999999999,1961-1990
1977,11.77,2020,NIWA 7 Station,-0.6989999999999998,1961-1990
1978,12.82,2020,NIWA 7 Station,0.35100000000000087,1961-1990
1979,12.55,2020,NIWA 7 Station,0.0810000000000013,1961-1990
1980,12.25,2020,NIWA 7 Station,-0.21899999999999945,1961-1990
1981,12.86,2020,NIWA 7 Station,0.391,1961-1990
1982,12.11,2020,NIWA 7 Station,-0.359,1961-1990
1983,12.03,2020,NIWA 7 Station,-0.43900000000000006,1961-1990
1984,12.68,2020,NIWA 7 Station,0.2110000000000003,1961-1990
1985,12.85,2020,NIWA 7 Station,0.3810000000000002,1961-1990
1986,12.65,2020,NIWA 7 Station,0.18100000000000097,1961-1990
1987,12.77,2020,NIWA 7 Station,0.30100000000000016,1961-1990
1988,12.93,2020,NIWA 7 Station,0.4610000000000003,1961-1990
1989,12.97,2020,NIWA 7 Station,0.5010000000000012,1961-1990
1990,12.99,2020,NIWA 7 Station,0.5210000000000008,1961-1990
1991,12.17,2020,NIWA 7 Station,-0.2989999999999995,1961-1990
1992,11.48,2020,NIWA 7 Station,-0.988999999999999,1961-1990
1993,11.84,2020,NIWA 7 Station,-0.6289999999999996,1961-1990
1994,12.33,2020,NIWA 7 Station,-0.13899999999999935,1961-1990
1995,12.59,2020,NIWA 7 Station,0.12100000000000044,1961-1990
1996,12.45,2020,NIWA 7 Station,-0.01900000000000012,1961-1990
1997,12.27,2020,NIWA 7 Station,-0.19899999999999984,1961-1990
1998,13.41,2020,NIWA 7 Station,0.9410000000000008,1961-1990
1999,13.35,2020,NIWA 7 Station,0.8810000000000002,1961-1990
2000,12.79,2020,NIWA 7 Station,0.32099999999999973,1961-1990
2001,12.9,2020,NIWA 7 Station,0.43100000000000094,1961-1990
2002,12.67,2020,NIWA 7 Station,0.2010000000000005,1961-1990
2003,12.62,2020,NIWA 7 Station,0.1509999999999998,1961-1990
2004,12.17,2020,NIWA 7 Station,-0.2989999999999995,1961-1990
2005,13.11,2020,NIWA 7 Station,0.641,1961-1990
2006,12.4,2020,NIWA 7 Station,-0.06899999999999906,1961-1990
2007,12.67,2020,NIWA 7 Station,0.2010000000000005,1961-1990
2008,12.86,2020,NIWA 7 Station,0.391,1961-1990
2009,12.29,2020,NIWA 7 Station,-0.17900000000000027,1961-1990
2010,13.07,2020,NIWA 7 Station,0.6010000000000009,1961-1990
2011,12.83,2020,NIWA 7 Station,0.36100000000000065,1961-1990
2012,12.45,2020,NIWA 7 Station,-0.01900000000000012,1961-1990
2013,13.33,2020,NIWA 7 Station,0.8610000000000007,1961-1990
2014,12.79,2020,NIWA 7 Station,0.32099999999999973,1961-1990
2015,12.75,2020,NIWA 7 Station,0.2810000000000006,1961-1990
2016,13.45,2020,NIWA 7 Station,0.981,1961-1990
2017,13.15,2020,NIWA 7 Station,0.6810000000000009,1961-1990
2018,13.41,2020,NIWA 7 Station,0.9410000000000008,1961-1990
2019,13.37,2020,NIWA 7 Station,0.9009999999999998,1961-1990
1909,NA,2020,"NASA GISTEMP v4",-0.49,1961-1990
1910,NA,2020,"NASA GISTEMP v4",-0.44,1961-1990
1911,NA,2020,"NASA GISTEMP v4",-0.51,1961-1990
1912,NA,2020,"NASA GISTEMP v4",-0.55,1961-1990
1913,NA,2020,"NASA GISTEMP v4",-0.37,1961-1990
1914,NA,2020,"NASA GISTEMP v4",-0.13,1961-1990
1915,NA,2020,"NASA GISTEMP v4",-0.17,1961-1990
1916,NA,2020,"NASA GISTEMP v4",-0.54,1961-1990
1917,NA,2020,"NASA GISTEMP v4",-0.74,1961-1990
1918,NA,2020,"NASA GISTEMP v4",-0.56,1961-1990
1919,NA,2020,"NASA GISTEMP v4",-0.4,1961-1990
1920,NA,2020,"NASA GISTEMP v4",-0.4,1961-1990
1921,NA,2020,"NASA GISTEMP v4",-0.15,1961-1990
1922,NA,2020,"NASA GISTEMP v4",-0.34,1961-1990
1923,NA,2020,"NASA GISTEMP v4",-0.32,1961-1990
1924,NA,2020,"NASA GISTEMP v4",-0.31,1961-1990
1925,NA,2020,"NASA GISTEMP v4",-0.2,1961-1990
1926,NA,2020,"NASA GISTEMP v4",-0.06,1961-1990
1927,NA,2020,"NASA GISTEMP v4",-0.27,1961-1990
1928,NA,2020,"NASA GISTEMP v4",-0.13,1961-1990
1929,NA,2020,"NASA GISTEMP v4",-0.55,1961-1990
1930,NA,2020,"NASA GISTEMP v4",-0.14,1961-1990
1931,NA,2020,"NASA GISTEMP v4",-0.02,1961-1990
1932,NA,2020,"NASA GISTEMP v4",-0.06,1961-1990
1933,NA,2020,"NASA GISTEMP v4",-0.38,1961-1990
1934,NA,2020,"NASA GISTEMP v4",-0.07,1961-1990
1935,NA,2020,"NASA GISTEMP v4",-0.23,1961-1990
1936,NA,2020,"NASA GISTEMP v4",-0.17,1961-1990
1937,NA,2020,"NASA GISTEMP v4",-0.08,1961-1990
1938,NA,2020,"NASA GISTEMP v4",0.13,1961-1990
1939,NA,2020,"NASA GISTEMP v4",0.06,1961-1990
1940,NA,2020,"NASA GISTEMP v4",0.01,1961-1990
1941,NA,2020,"NASA GISTEMP v4",0.03,1961-1990
1942,NA,2020,"NASA GISTEMP v4",-0.04,1961-1990
1943,NA,2020,"NASA GISTEMP v4",-0.01,1961-1990
1944,NA,2020,"NASA GISTEMP v4",0.08,1961-1990
1945,NA,2020,"NASA GISTEMP v4",-0.2,1961-1990
1946,NA,2020,"NASA GISTEMP v4",-0.08,1961-1990
1947,NA,2020,"NASA GISTEMP v4",0.01,1961-1990
1948,NA,2020,"NASA GISTEMP v4",-0.04,1961-1990
1949,NA,2020,"NASA GISTEMP v4",-0.16,1961-1990
1950,NA,2020,"NASA GISTEMP v4",-0.4,1961-1990
1951,NA,2020,"NASA GISTEMP v4",-0.2,1961-1990
1952,NA,2020,"NASA GISTEMP v4",-0.13,1961-1990
1953,NA,2020,"NASA GISTEMP v4",0.12,1961-1990
1954,NA,2020,"NASA GISTEMP v4",-0.22,1961-1990
